Compass Release Candidate 1
ACS Meter																																																																														
53000011		; Serial number																																																																												
C436.8	A435.6	18	1.040026	0.43846		-0.014893	-0.011921	-0.008579	-0.007203	-0.006431	-0.005677	-0.005294	-0.004414	-0.003441	-0.002459	-0.001697	-0.001147	-0.001045	-0.000917	-0.000678	-0.000693	-0.000538	-0.000342	-0.000215	-0.000339	-0.000113	0.000064	0	-0.000092	0.000196	0.000391	0.000525	0.000564	0.000841	0.000869	0.000707	0.000537	0.000254	-0.000215	-0.000002		-0.016306	-0.014465	-0.012631	-0.011301	-0.01045	-0.009707	-0.00936	-0.009138	-0.008602	-0.007442	-0.006526	-0.005329	-0.004415	-0.003625	-0.002931	-0.002034	-0.00107	-0.000808	-0.000386	-0.000263	-0.000597	0.000328	0	-0.000114	-0.000053	0.000491	0.000927	0.000758	0.000622	0.000527	0.000219	-0.000232	-0.000791	-0.001133	-0.001597		"; C and A offset, and C and A temperature correction info"
C441.4	A440.0	20	1.063569	0.465499		-0.013688	-0.010636	-0.007344	-0.005905	-0.005	-0.004373	-0.003978	-0.003161	-0.00222	-0.001353	-0.000712	-0.000098	-0.000046	-0.000197	-0.000175	-0.000019	-0.000043	0.000061	0.00017	-0.00006	0.00011	0.000303	0	-0.00009	0.000293	0.000503	0.000641	0.000798	0.000974	0.001061	0.000832	0.000684	0.000441	0.00023	0.000306		-0.015504	-0.013771	-0.011889	-0.010631	-0.009888	-0.009056	-0.00879	-0.008434	-0.008037	-0.006932	-0.006012	-0.004916	-0.00408	-0.003417	-0.002845	-0.00192	-0.001238	-0.000938	-0.000626	-0.000473	-0.000573	0.000125	0	-0.000121	-0.000073	0.000461	0.000795	0.000794	0.000574	0.000486	0.000277	-0.000186	-0.000657	-0.000948	-0.00157		"; C and A offset, and C and A temperature correction info"
C446.2	A444.6	21	1.085712	0.491229		-0.011675	-0.008888	-0.005809	-0.004462	-0.003836	-0.003201	-0.002826	-0.002102	-0.001281	-0.000375	0.00031	0.000581	0.000472	0.000259	0.000328	0.000242	0.000168	0.000323	0.000249	0.000162	0.00022	0.000255	0	-0.000059	0.00024	0.000429	0.000498	0.000492	0.000746	0.001018	0.00078	0.00076	0.000552	0.000214	0.000255		-0.014614	-0.012888	-0.01108	-0.009703	-0.009037	-0.008261	-0.007775	-0.007553	-0.007148	-0.006171	-0.005304	-0.004341	-0.003549	-0.003014	-0.002398	-0.001661	-0.000974	-0.000729	-0.000341	-0.000201	-0.00041	0.000341	0	0.000014	0.000191	0.000699	0.001033	0.000912	0.00076	0.000784	0.000466	0.000112	-0.000329	-0.000608	-0.001105		"; C and A offset, and C and A temperature correction info"
C450.9	A449.3	22	1.107992	0.516329		-0.011967	-0.009198	-0.006053	-0.004718	-0.003983	-0.003271	-0.002781	-0.002109	-0.001303	-0.000377	0.00026	0.000666	0.000491	0.000277	0.000369	0.000065	0.000096	0.000128	0.000151	0.000037	0.000076	0.00016	0	-0.000085	0.000104	0.000361	0.000311	0.000532	0.000778	0.000907	0.000834	0.00067	0.000581	0.00019	0.000033		-0.014168	-0.012436	-0.010635	-0.009372	-0.008571	-0.007823	-0.007375	-0.00713	-0.006712	-0.005741	-0.004919	-0.004033	-0.00333	-0.002909	-0.002327	-0.00177	-0.001221	-0.000816	-0.000497	-0.000592	-0.000504	0.0001	0	-0.000178	-0.000169	0.000381	0.00073	0.000589	0.000532	0.0005	0.000186	-0.000015	-0.000397	-0.000624	-0.001126		"; C and A offset, and C and A temperature correction info"
C455.7	A453.8	23	1.125111	0.541285		-0.011307	-0.00849	-0.0054	-0.004019	-0.00322	-0.002537	-0.002139	-0.001415	-0.000578	0.000116	0.000687	0.001008	0.000847	0.000457	0.000422	0.000238	0.000244	0.000144	0.000177	0.000116	0.000051	0.00013	0	-0.000287	0.000022	0.000112	0.00029	0.000386	0.000702	0.00067	0.000771	0.000579	0.000479	0.000295	0.000138		-0.013042	-0.011296	-0.009494	-0.008201	-0.007506	-0.006705	-0.00631	-0.005961	-0.005686	-0.004755	-0.004141	-0.003329	-0.002779	-0.002325	-0.00191	-0.001461	-0.000818	-0.000597	-0.00039	-0.000341	-0.000322	0.000327	0	0.000005	0.000042	0.000507	0.000905	0.000848	0.0008	0.000776	0.00061	0.000285	-0.000032	-0.000349	-0.000539		"; C and A offset, and C and A temperature correction info"
C460.4	A458.7	LtBlue	1.14081	0.566265		-0.009994	-0.007409	-0.004534	-0.003197	-0.002509	-0.001877	-0.001432	-0.000851	-0.000112	0.000747	0.001209	0.001451	0.001304	0.000971	0.00079	0.000549	0.000453	0.000531	0.000331	0.000242	0.000179	0.000313	0	-0.000065	0.000138	0.000244	0.000318	0.000505	0.000757	0.000822	0.000877	0.00077	0.000808	0.000495	0.000334		-0.012483	-0.010689	-0.008848	-0.00755	-0.006805	-0.006107	-0.005655	-0.005391	-0.005046	-0.004187	-0.003513	-0.002893	-0.00242	-0.002124	-0.001808	-0.001303	-0.000714	-0.000561	-0.000231	-0.00032	-0.000355	0.000214	0	-0.000004	0.000128	0.000579	0.000846	0.000829	0.000797	0.000902	0.000583	0.000416	0.000038	-0.000097	-0.000474		"; C and A offset, and C and A temperature correction info"
C465.2	A463.4	26	1.155354	0.591342		-0.009498	-0.006976	-0.004235	-0.002981	-0.002234	-0.001614	-0.001187	-0.000526	0.000112	0.000814	0.00134	0.001503	0.00133	0.000933	0.000868	0.00055	0.000453	0.000353	0.000294	0.000217	0.000161	0.000209	0	-0.000067	0.000111	0.000193	0.000219	0.000356	0.000689	0.000735	0.000823	0.000649	0.000698	0.000495	0.000322		-0.011794	-0.009997	-0.008184	-0.006868	-0.006169	-0.005384	-0.004989	-0.004787	-0.004388	-0.003695	-0.003039	-0.002448	-0.002052	-0.001803	-0.001468	-0.001036	-0.000605	-0.000517	-0.000195	-0.000126	-0.000241	0.000168	0	0.00004	0.000174	0.000555	0.000852	0.00086	0.000807	0.0009	0.000693	0.000599	0.000271	0.000176	-0.000116		"; C and A offset, and C and A temperature correction info"
C470.1	A468.0	27	1.171706	0.615944		-0.008524	-0.006154	-0.00358	-0.002482	-0.001781	-0.001225	-0.000884	-0.00035	0.000375	0.001071	0.001536	0.001711	0.001486	0.001087	0.000942	0.000645	0.000575	0.000377	0.000446	0.000241	0.00023	0.000208	0	-0.000134	0.000065	0.000128	0.000157	0.000343	0.000556	0.000679	0.000801	0.000551	0.000727	0.000493	0.00025		-0.011225	-0.009418	-0.007567	-0.006317	-0.005573	-0.004903	-0.004462	-0.004231	-0.003889	-0.003209	-0.00264	-0.002163	-0.001821	-0.00158	-0.001319	-0.000946	-0.000602	-0.000506	-0.000314	-0.000317	-0.000327	0.000137	0	-0.000053	0.000036	0.000447	0.000755	0.000757	0.000744	0.000856	0.000736	0.000462	0.000256	0.00013	-0.000039		"; C and A offset, and C and A temperature correction info"
C475.0	A473.1	28	1.187695	0.640378		-0.008214	-0.006021	-0.00364	-0.002477	-0.001858	-0.00126	-0.000881	-0.000289	0.000316	0.001034	0.001412	0.001621	0.001465	0.001092	0.000928	0.000755	0.000583	0.000583	0.000401	0.000291	0.000216	0.000264	0	-0.000113	0.000074	0.000157	0.000277	0.000383	0.00067	0.000832	0.00076	0.000704	0.000781	0.000581	0.00039		-0.010432	-0.008668	-0.006837	-0.005638	-0.004952	-0.004297	-0.003911	-0.003643	-0.003258	-0.002677	-0.002204	-0.00172	-0.001388	-0.001327	-0.001034	-0.000735	-0.000485	-0.000362	-0.000158	-0.000102	-0.000103	0.000291	0	0.000165	0.000186	0.000646	0.000867	0.000847	0.00092	0.000948	0.000937	0.000814	0.000555	0.000419	0.000272		"; C and A offset, and C and A temperature correction info"
C479.9	A477.6	30	1.202667	0.663982		-0.008374	-0.006162	-0.003804	-0.002784	-0.002064	-0.001489	-0.001106	-0.000553	0.000054	0.000633	0.001202	0.001356	0.00119	0.000862	0.00084	0.000542	0.000477	0.000396	0.000358	0.000169	0.000117	0.000136	0	-0.000031	0.000006	0.00007	0.000252	0.000355	0.000675	0.000749	0.000766	0.000704	0.000809	0.000738	0.000478		-0.010284	-0.008514	-0.006692	-0.005477	-0.004747	-0.004127	-0.003726	-0.003488	-0.003162	-0.002566	-0.002076	-0.001724	-0.001427	-0.001289	-0.001136	-0.000875	-0.000593	-0.000459	-0.000247	-0.00034	-0.00032	0.000095	0	-0.000102	0.000002	0.000414	0.000633	0.00071	0.000702	0.000756	0.000618	0.000604	0.000451	0.000346	0.000118		"; C and A offset, and C and A temperature correction info"
C484.5	A482.2	31	1.215377	0.6876		-0.007771	-0.005839	-0.003705	-0.002716	-0.002075	-0.001557	-0.00129	-0.000722	-0.000159	0.000434	0.00093	0.001106	0.001076	0.000748	0.00067	0.000489	0.000369	0.000333	0.000287	0.00011	0.000166	0.000128	0	-0.000117	0.00005	0.000051	0.000143	0.000318	0.000545	0.000779	0.000873	0.000747	0.00078	0.000765	0.000606		-0.009961	-0.008196	-0.0064	-0.005265	-0.004551	-0.003914	-0.003558	-0.003258	-0.002988	-0.002374	-0.002006	-0.001571	-0.001341	-0.001189	-0.00104	-0.000765	-0.000454	-0.000396	-0.000257	-0.000209	-0.000169	0.00012	0	0.000048	0.000102	0.000493	0.00073	0.000829	0.000877	0.000928	0.000887	0.000768	0.000646	0.000521	0.000385		"; C and A offset, and C and A temperature correction info"
C489.0	A486.9	32	1.228667	0.710917		-0.007727	-0.005958	-0.003995	-0.003038	-0.00244	-0.001983	-0.001602	-0.001068	-0.00053	0.000051	0.00048	0.000676	0.000663	0.000545	0.000472	0.000377	0.000288	0.000288	0.00018	0.000169	0.000075	0.000199	0	-0.000046	0.000082	0.00018	0.000317	0.000441	0.000645	0.000869	0.000903	0.000891	0.000881	0.000804	0.000691		-0.009774	-0.008058	-0.006311	-0.005188	-0.004546	-0.003912	-0.003463	-0.003239	-0.002947	-0.002406	-0.001959	-0.001605	-0.00132	-0.001173	-0.001025	-0.000754	-0.000467	-0.000356	-0.000207	-0.000197	-0.000175	0.000269	0	0.000038	0.000154	0.000504	0.000787	0.000897	0.000957	0.000995	0.000974	0.00093	0.000799	0.000746	0.00065		"; C and A offset, and C and A temperature correction info"
C493.5	A491.6	34	1.241305	0.733203		-0.008456	-0.006687	-0.004692	-0.003766	-0.003236	-0.002671	-0.002186	-0.001724	-0.001223	-0.000654	-0.000199	0.000185	0.000182	0.000127	0.000165	0.000116	0.000104	0.000088	0.00014	0.000178	0.000043	0.000054	0	0.000012	0.000111	0.000156	0.000343	0.00047	0.000731	0.000928	0.000932	0.000961	0.000928	0.00096	0.000821		-0.00994	-0.008245	-0.006517	-0.005431	-0.004758	-0.004129	-0.00376	-0.003505	-0.003179	-0.002646	-0.002247	-0.001881	-0.001637	-0.001393	-0.001236	-0.000936	-0.000644	-0.000463	-0.000311	-0.000262	-0.000235	0.000159	0	0.000123	0.000143	0.000506	0.000751	0.000822	0.000928	0.00095	0.000984	0.000957	0.00088	0.000823	0.000691		"; C and A offset, and C and A temperature correction info"
C498.2	A496.1	35	1.252435	0.754848		-0.008277	-0.006705	-0.004923	-0.004039	-0.003425	-0.00296	-0.002584	-0.002032	-0.001576	-0.00096	-0.000551	-0.00024	-0.0001	-0.000222	-0.000104	-0.000182	-0.000165	-0.000109	-0.000053	-0.000055	-0.00005	0.000007	0	-0.000141	0.000007	0.000067	0.000198	0.000363	0.000616	0.00082	0.000946	0.00086	0.0009	0.000877	0.000745		-0.009971	-0.008357	-0.006685	-0.005581	-0.004957	-0.00434	-0.003964	-0.003702	-0.00341	-0.002856	-0.00246	-0.002107	-0.00176	-0.0015	-0.001339	-0.001035	-0.000745	-0.000612	-0.000323	-0.000325	-0.000212	0.000123	0	0.00003	0.000109	0.000522	0.000827	0.000874	0.000959	0.001022	0.001114	0.001015	0.000939	0.000858	0.000809		"; C and A offset, and C and A temperature correction info"
C503.1	A500.8	36	1.263767	0.77519		-0.008641	-0.007148	-0.005461	-0.004581	-0.003994	-0.003527	-0.003119	-0.002615	-0.002081	-0.001479	-0.00093	-0.000585	-0.000426	-0.000378	-0.000246	-0.00022	-0.000164	-0.00012	-0.00011	-0.000122	-0.000056	0.000005	0	-0.000053	0.00009	0.0002	0.000327	0.000477	0.000774	0.0009	0.000985	0.000915	0.001035	0.000914	0.000838		-0.010048	-0.008497	-0.006848	-0.005811	-0.00519	-0.00459	-0.004196	-0.003927	-0.003652	-0.00309	-0.00274	-0.002317	-0.00195	-0.001745	-0.001443	-0.001118	-0.000831	-0.00066	-0.000476	-0.00042	-0.000362	0.000031	0	-0.000038	0.00009	0.000425	0.000687	0.000785	0.000885	0.000993	0.001038	0.001092	0.001017	0.000967	0.000893		"; C and A offset, and C and A temperature correction info"
C507.6	A505.4	37	1.273556	0.794579		-0.009272	-0.007765	-0.005981	-0.005077	-0.004506	-0.003992	-0.00359	-0.003139	-0.002647	-0.001975	-0.001527	-0.001056	-0.00088	-0.000748	-0.000546	-0.000471	-0.000334	-0.000239	-0.000116	-0.00011	-0.000089	0.000016	0	-0.000016	0.000111	0.000233	0.000395	0.000539	0.000772	0.000972	0.001039	0.000969	0.001059	0.000978	0.000837		-0.01014	-0.008635	-0.007025	-0.006027	-0.005369	-0.004793	-0.004362	-0.00403	-0.003775	-0.003192	-0.002834	-0.002432	-0.002118	-0.001797	-0.001538	-0.001205	-0.00092	-0.000662	-0.000449	-0.000322	-0.000263	0.00004	0	0.00007	0.000184	0.000545	0.000788	0.00091	0.001006	0.001105	0.001158	0.001258	0.001128	0.001171	0.001093		"; C and A offset, and C and A temperature correction info"
C512.6	A510.2	39	1.281889	0.813282		-0.009191	-0.007771	-0.006143	-0.00531	-0.004661	-0.004253	-0.00383	-0.003363	-0.002813	-0.002255	-0.00171	-0.00129	-0.001011	-0.000921	-0.000692	-0.000588	-0.000475	-0.000409	-0.000224	-0.000177	-0.000077	-0.000046	0	-0.000038	0.000112	0.000233	0.000334	0.000553	0.000766	0.000932	0.001047	0.000952	0.000988	0.001001	0.000927		-0.010513	-0.008974	-0.007357	-0.006305	-0.0057	-0.005103	-0.00468	-0.004353	-0.004047	-0.003491	-0.003075	-0.002611	-0.002224	-0.001919	-0.001624	-0.001272	-0.00091	-0.000699	-0.000442	-0.000432	-0.000332	0.000034	0	0.000066	0.000186	0.000536	0.000794	0.000955	0.000998	0.00112	0.001242	0.001238	0.001225	0.001228	0.001223		"; C and A offset, and C and A temperature correction info"
C518.0	A515.1	40	1.290413	0.833115		-0.00944	-0.008054	-0.006493	-0.005636	-0.005122	-0.004597	-0.004185	-0.003646	-0.003171	-0.002599	-0.002035	-0.001639	-0.00129	-0.0011	-0.00082	-0.000695	-0.000546	-0.000353	-0.000301	-0.000204	-0.000104	-0.000002	0	0.00005	0.000182	0.000324	0.000486	0.000599	0.00085	0.000985	0.001039	0.001001	0.001023	0.000993	0.000836		-0.010776	-0.009307	-0.007706	-0.006654	-0.005994	-0.005328	-0.004905	-0.004571	-0.004252	-0.003665	-0.003249	-0.002739	-0.002375	-0.002054	-0.001693	-0.001346	-0.000967	-0.00076	-0.000479	-0.000386	-0.000252	0.000038	0	0.000103	0.000236	0.00057	0.000871	0.000983	0.001172	0.001241	0.001328	0.001395	0.001359	0.001342	0.001394		"; C and A offset, and C and A temperature correction info"
C522.3	A520.3	41	1.29964	0.853966		-0.009665	-0.008321	-0.00674	-0.005945	-0.005351	-0.004855	-0.004406	-0.003947	-0.003533	-0.002985	-0.002355	-0.001881	-0.001553	-0.001348	-0.001065	-0.000874	-0.000698	-0.000516	-0.000344	-0.000246	-0.0002	-0.000018	0	-0.000012	0.000136	0.000299	0.000451	0.000535	0.000775	0.000887	0.000973	0.000901	0.000967	0.000932	0.000717		-0.011107	-0.009628	-0.008038	-0.007016	-0.006309	-0.005656	-0.005231	-0.004839	-0.004587	-0.003996	-0.003501	-0.002986	-0.002559	-0.00226	-0.001875	-0.001474	-0.001106	-0.000836	-0.000581	-0.000469	-0.000314	-0.000028	0	0.000087	0.000208	0.000542	0.000786	0.000952	0.001104	0.001206	0.001342	0.001366	0.001365	0.001401	0.001374		"; C and A offset, and C and A temperature correction info"
C527.2	A524.6	42	1.307793	0.875565		-0.009739	-0.008357	-0.006838	-0.006013	-0.005379	-0.004903	-0.00453	-0.004112	-0.003584	-0.002995	-0.002444	-0.001952	-0.001615	-0.001385	-0.001104	-0.000943	-0.00069	-0.000535	-0.000341	-0.000252	-0.000121	-0.000008	0	0.000052	0.000209	0.000322	0.00048	0.000633	0.000778	0.000958	0.000987	0.000882	0.000907	0.000873	0.000741		-0.011058	-0.009621	-0.008096	-0.007059	-0.006393	-0.005754	-0.00533	-0.004964	-0.004606	-0.004039	-0.003504	-0.003048	-0.002616	-0.002257	-0.0019	-0.001528	-0.001131	-0.000874	-0.000659	-0.000532	-0.000341	-0.00003	0	0.000082	0.000167	0.000528	0.000745	0.00096	0.001097	0.001216	0.001294	0.001346	0.001406	0.001452	0.001437		"; C and A offset, and C and A temperature correction info"
C532.0	A529.4	44	1.314277	0.896895		-0.009006	-0.007791	-0.006367	-0.005624	-0.005151	-0.004708	-0.004342	-0.003878	-0.003414	-0.002889	-0.002344	-0.001968	-0.001621	-0.001411	-0.001067	-0.000931	-0.000691	-0.000567	-0.000433	-0.0003	-0.000139	-0.000112	0	0.000031	0.000182	0.000342	0.000464	0.000599	0.000748	0.000918	0.000939	0.000807	0.000842	0.00082	0.000729		-0.010923	-0.009534	-0.008039	-0.00702	-0.006336	-0.005683	-0.005246	-0.004917	-0.004571	-0.003992	-0.003504	-0.002996	-0.002608	-0.002258	-0.001889	-0.001492	-0.001135	-0.000887	-0.000611	-0.000444	-0.000347	-0.000058	0	0.000086	0.000203	0.000531	0.000798	0.00098	0.001103	0.001223	0.001305	0.001437	0.001483	0.001555	0.00151		"; C and A offset, and C and A temperature correction info"
C537.0	A534.1	45	1.320919	0.917325		-0.008594	-0.007351	-0.00601	-0.005332	-0.004814	-0.004437	-0.004086	-0.003754	-0.003324	-0.002831	-0.002289	-0.001864	-0.001619	-0.001439	-0.001144	-0.000912	-0.000818	-0.000589	-0.000421	-0.000284	-0.000221	-0.000033	0	-0.000047	0.000147	0.000261	0.00036	0.00049	0.000678	0.000798	0.000846	0.000865	0.000777	0.000792	0.000599		-0.010887	-0.009514	-0.008065	-0.007075	-0.006405	-0.005769	-0.005356	-0.004981	-0.004639	-0.004114	-0.003573	-0.003086	-0.002679	-0.002289	-0.001921	-0.001564	-0.001165	-0.000944	-0.000652	-0.00051	-0.000336	-0.000047	0	0.000087	0.000239	0.000552	0.000795	0.00097	0.001134	0.00126	0.001378	0.00145	0.001513	0.001572	0.001607		"; C and A offset, and C and A temperature correction info"
C541.8	A538.9	46	1.327754	0.936913		-0.007695	-0.006547	-0.005331	-0.004695	-0.00424	-0.00389	-0.003564	-0.003241	-0.002858	-0.002464	-0.001957	-0.001621	-0.001415	-0.001224	-0.001008	-0.000821	-0.000683	-0.000556	-0.00037	-0.000271	-0.000168	0.000005	0	-0.000003	0.000188	0.000307	0.000461	0.000572	0.000741	0.000881	0.000879	0.000855	0.000807	0.00082	0.000748		-0.010716	-0.009371	-0.007935	-0.006968	-0.00631	-0.005675	-0.005247	-0.004876	-0.004537	-0.004	-0.003511	-0.003041	-0.002652	-0.002243	-0.001913	-0.001534	-0.001173	-0.00085	-0.000633	-0.000473	-0.000314	-0.000036	0	0.000093	0.000273	0.000586	0.000825	0.001019	0.001174	0.001329	0.001411	0.001521	0.001576	0.001607	0.001621		"; C and A offset, and C and A temperature correction info"
